epoch,correspondence_acc,correspondence_pos_baseline,patch_sim_entropy,hf_energy,gram_drift_vs_init,gram_drift_vs_peak
0,0.40382,0.0763,0.87887,0.4472,0.0,
10,0.35802,0.0763,0.82155,0.36554,0.25653,
20,0.44034,0.0763,0.81938,0.43131,0.29106,
30,0.49374,0.0763,0.83741,0.44937,0.2944,0.2058
40,0.53221,0.0763,0.84645,0.4526,0.2901,0.1964
50,0.56429,0.0763,0.84648,0.44826,0.2830,0.1923
60,0.58691,0.0763,0.84042,0.44712,0.2902,0.1761
70,0.60174,0.0763,0.8384,0.44673,0.2868,0.1622
80,0.61481,0.0763,0.82775,0.44038,0.2982,0.1500
90,0.61435,0.0763,0.81261,0.43872,0.3163,0.1248
100,0.62631,0.0763,0.79851,0.43209,0.3353,0.1064
110,0.61871,0.0763,0.79767,0.42829,0.3396,0.0925
120,0.62483,0.0763,0.79214,0.41801,0.3458,0.0765
130,0.62557,0.0763,0.78929,0.41147,0.3460,0.0546
140,0.62789,0.0763,0.79339,0.40515,0.3407,0.0000
150,0.62733,0.0763,0.79797,0.39837,0.3352,0.0537
160,0.62010,0.0763,0.80626,0.39281,0.3281,0.0754
170,0.62158,0.0763,0.81540,0.38772,0.3172,0.0927
180,0.61778,0.0763,0.81940,0.38516,0.3127,0.1078
190,0.61370,0.0763,0.82935,0.38481,0.3015,0.1268
200,0.60452,0.0763,0.83124,0.38164,0.3002,0.1411
210,0.59831,0.0763,0.83830,0.37646,0.2934,0.1568
220,0.60258,0.0763,0.84156,0.37329,0.2850,0.1664
250,0.60026,0.0763,0.86264,0.37134,0.27665,
260,0.60184,0.0763,0.86864,0.37060,0.27315,
